GrantIDs	Counter
P30 CA076292	25
U01 CA209414	3
R01 CA092824	12
R35 CA197449	24
P30 CA016672	39
U01 CA167462	9
U19 CA203654	14
FS/16/30/32162	3
MR/N025083/1	9
MR/R017468/1	4
203141	7
090532/Z/09/Z	32
1964807	1
MC_UP_1102/20	6
RE/13/1/30181	6
090532	148
U01 HL117006	3
RG/18/9/33887	2
203141/Z/16/Z	8
201543/B/16/Z	2
UL1 TR001863	57
R01 DA042090	2
R01 DA042755	5
U54 GM104942	4
R21 DA051921	1
DP2 MH122403	2
R01 DA037904	8
R01 DA035825	6
R01 DA044283	3
R01 DA042195	1
U01 HL089856	45
HHSN261201100006I	1
HHSN268201100008I	102
HHSN268201100003I	17
HHSN268201100002I	42
 BTRU-2014-10024	1
HHSN268201100001I	43
HHSN268201100007I	101
HHSN268201100004I	41
HHSN268201100005I	104
HHSN268201100009I	100
R01 HL089897	25
P01 HD031921	9
K01 HL125858	9
U01 AG009740	41
R01 GM126479	5
R03 HD097630	4
G0902144	1
P2C HD066613	7
T32 DK091317	2
R01 MH123619	3
R03 DC013373	3
R21 DA040177	8
U01 HL089897	40
MC_UU_00011/7	6
MR/K023195/1	3
T32 HG000040	37
R01 HL119443	25
R01 DA034076	5
R01 HG008983	9
R01 DA036583	7
MC_UU_12013/1	55
R01 DK116738	12
R21 AA021223	3
U01 DA046413	1
R01 AA023974	2
P30 DK020572	53
S10 OD020069	41
R01 CA142665	7
R01 CA 142665	1
P50 115279	1
P30 CA021765	29
P50 GM115279	9
R01 CA036401	12
U10 CA180899	12
U10 CA180886	9
UL1 TR002548	7
K07 CA172294	9
MC_UU_12017/12	1
RG2008/008	1
HHSN268201100037C	7
R01 HL112064	7
U01 HL105198	7
RC2 HL102419	23
R01 HL087698	20
N01 HC025195	63
ZIA HL006170-02	1
U01 HL072518	22
K23 GM102678	4
N01HC25195	201
Z99 HL999999	9
ZIA HL006170-01	1
U01 GM074518	24
nº OPP1071295/Subagreement 7636	1
nº 467043/2014-0	1
LAMF	1
P50 AI098461	2
[PRPG - 03/2018] - [LAMF]	1
U19 AI098461	2
UL1 TR000135	26
R01 HL103871	2
R01 HL132154	2
R01HL103871	1
0000000	1
U01 AG024904	80
U01 DE024430	4
K99 DE025060	4
R00 DE025060	11
U01 DE020057	5
S10 OD018164	12
R01 DC015052	1
MR/N01104X/2	35
G1001799	66
S44	2
MR/N01104X/1	48
F31 HL142159	1
R01 HL127692	3
R21 EY025034	1
K01 DK087852	1
R01 HL131546	3
P20 GM103457	1
T32 HL007260	1
I01 BX000820	1
R01 GM122078	2
R01 DK117308	1
P30 DK074038	1
P20 GM103444	3
P30 GM131944	1
R21 CA209848	1
P30 EY001792	7
R01 EY022651	8
R01 EY027315	2
P30 DK079626	25
R01 DK074842	2
R01 DK104347	2
P30 GM103325	2
R01 DK112358	2
R35NS105078	1
81472045	1
2016-I2M-2-006	1
NINDS R01NS058529	1
xxjc201717	1
81772301	1
3332016006	1
UM1 HG006542	2
R35 NS105078	1
2016ZX310177	1
K08 HG008986	1
NHGRI/NHLBI UM1 HG006542	1
Z161100004916123	1
PUMCH-2016-1.1	1
81472046	1
JQ201506	1
81501852	1
R01 NS058529	1
NHGRI K08 HG008986	1
2016-I2M-3-003	1
81772299	1
2017-I2M-2-001	1
7172175	1
R01 AG064877	4
R01 AG052521	2
P30 AG010133	35
U01 AG068057	3
R01 AG017917	62
R01 AG029672	2
U01 AG006781	17
K23 AG046377	5
R01 AG030653	19
P30 AG066468	4
R01 AG041718	10
R43 AG042904	1
R01 AG015819	50
U01 HG006375	36
P30 AG066507	6
R01 AG019771	23
U01 AG032984	45
K01 AG050699	1
R01 AG030146	30
K25 AG055620	5
P50 AG005136	20
R01 AG042437	4
P30 AG010161	61
R44 AG042904	1
P50 AG005133	30
P30 AG066509	3
K08 HL140203	5
U01 HL120393	70
MR/M008924/1	2
MC_UU_00006/1	13
MR/M023095/1	5
K01 AG057726	1
K08 AR060802	6
R01 AR042742	16
P30 AR075043	2
K01 AR072129	2
R01 AR054966	12
R01 AR050511	15
R01 AR065183	8
R01 AR063611	10
P30 DK078392	5
MR/L010305/1	52
I01 CX000278	2
L30 MH104939	2
R01 HL128439	11
R01 HL117004	20
UL1 TR001872	2
R01 HL141845	9
P60 MD006902	19
R01 HL141992	8
R01 MD010443	12
R21 ES024844	15
RL5 GM118984	8
U01 HG009080	11
R01 HL135156	9
R56 MD013312	5
R01 ES015794	27
K07 CA197179	1
INFR-2016-01-270405	1
266-17/2016/I	1
K07CA197179	1
N01 HC095164	17
U01 DK085501	11
N01 HC095163	16
HHSN268201500003C	21
R01 HL092217	11
N01 HC065234	6
HHSN268201600002C	11
N01 HC095168	17
R01 HL124935	1
HHSN268201600018C	11
R01 HL142302	20
N01 HC095162	16
UL1 TR000124	209
N02HL64278	80
N01 HC095165	16
N01 HC065237	6
R01 HL102830	7
R01 DK073541	8
N01 HC095169	17
T32 HL007779	3
N01 HC095159	35
HHSN268201600003C	11
N01 HC065233	6
HHSN268201300024C	1
N01 HC095161	16
T32 HL139439	3
HHSN268201600004C	11
HHSN268201600001C	11
N01 HC065236	6
R01 AI085014	6
N01 HC095166	17
T32 HL007374	2
K23 HL136853	1
N01 HC095167	17
T32 HL007055	31
N01 HC065235	6
R01 HL111089	11
R01 HL116747	17
P30 DK020595	14
P60 DK020595	9
N01 HC095160	18
U01 CA074799	17
K05 CA154337	15
R01 CA092585	18
R01 CA070867	5
U01 CA167551	13
R01 CA064277	29
UM1 CA186107	46
HHSN268201100002C	58
R01 CA042182	9
U01 CA122839	27
HHSN268201100004C	58
U19 CA148107	21
R01 CA059045	23
R01 CA197350	6
R01 CA076366	13
R01 CA188214	5
R01 CA082729	19
P01 CA087969	91
P01 CA055075	40
R37 CA070867	31
R01 CA151993	7
P30 DK058404	6
HHSN268201100046C	57
R01 CA048998	15
U01 CA137088	28
HHSN268201100003C	59
Z01 CP010200	14
UM1 CA173640	33
R01 CA137178	10
U01 CA074794	30
P30 CA014089	19
R01 CA148667	28
R01 CA081488	12
HHSN271201100004C	58
R01 CA124558	25
P30 CA068485	24
U01 CA097735	23
T32 ES013678	12
UM1 CA167552	40
U01 CA074783	27
U01 CA074806	14
UM1 CA182910	44
P50 CA127003	16
R01 CA158473	3
U01 CA074800	15
HHSN268201100001C	61
MR/M008606/1	3
MR/L501529/1	14
ZIA AG000933-03	1
MR/L021803/1	4
